case_id,asset,strategy,window,roundtrip_cost_bps,environment_proxy,bars,compounded_return_pct,mean_bps_per_bar,positive_bar_pct,sharpe
btc_dual_common_rt8bps,BTC,dual,common,8,choppy_adx_lt_20,1396,-0.47142717192771855,0.008514647261354568,30.01432664756447,0.013679457119964902
btc_dual_common_rt8bps,BTC,dual,common,8,high_volatility_rank_ge_90pct,1607,22.721491145212404,1.394037910851051,25.140012445550713,1.3331258014243914
btc_dual_common_rt8bps,BTC,dual,common,8,low_volatility_rank_le_30pct,4485,64.84767718422503,1.155776775330039,34.55964325529543,1.8810995799953953
eth_dual_common_rt8bps,ETH,dual,common,8,bull_180d_gt_20pct,4754,18.09636127972145,0.5244975415422665,43.794699200673115,0.41531017087919936
eth_dual_common_rt8bps,ETH,dual,common,8,bear_180d_lt_minus20pct,3493,14.049635157548025,0.3943933648838136,23.418265101631835,0.9718955310390708
eth_dual_common_rt8bps,ETH,dual,common,8,sideways_180d_between_plusminus20pct,3332,35.75998015770341,0.9733914968228469,30.912364945978393,1.3627607022050359
eth_dual_common_rt8bps,ETH,dual,common,8,trend_adx_ge_25,9583,165.56500641920513,1.1420373823201624,34.15423145152875,1.0781905541301415
eth_dual_common_rt8bps,ETH,dual,common,8,choppy_adx_lt_20,1330,-0.7776122831255061,0.02449483987238447,34.81203007518797,0.028086238352222095
eth_dual_common_rt8bps,ETH,dual,common,8,high_volatility_rank_ge_90pct,1734,60.523545434474315,2.888976171543149,29.58477508650519,2.3942879466920304
eth_dual_common_rt8bps,ETH,dual,common,8,low_volatility_rank_le_30pct,4539,63.81815966617241,1.1728378088132931,37.67349636483807,1.3272512569872674
sol_dual_common_rt8bps,SOL,dual,common,8,bull_180d_gt_20pct,5344,271.7968671802198,2.8889455907918817,41.71032934131736,1.4528639270500747
sol_dual_common_rt8bps,SOL,dual,common,8,bear_180d_lt_minus20pct,4175,-11.42059416703145,-0.2771218880457577,11.592814371257484,-0.7947557503873549
sol_dual_common_rt8bps,SOL,dual,common,8,sideways_180d_between_plusminus20pct,2060,27.39974615193821,1.240401630710686,25.19417475728155,1.6085717729576938
sol_dual_common_rt8bps,SOL,dual,common,8,trend_adx_ge_25,9555,537.4475544083199,2.19390620958156,27.796964939822082,1.431863967518231
sol_dual_common_rt8bps,SOL,dual,common,8,choppy_adx_lt_20,1251,22.050808863075243,1.79541824667311,27.89768185451639,1.3165037625246478
sol_dual_common_rt8bps,SOL,dual,common,8,high_volatility_rank_ge_90pct,1765,175.53987721624628,6.148309356515131,23.79603399433428,3.175807349179858
sol_dual_common_rt8bps,SOL,dual,common,8,low_volatility_rank_le_30pct,4468,-0.5184393967745393,0.16129312847567792,28.939122649955234,0.12822420849618754
btc_dual_full_rt4bps,BTC,dual,full,4,bull_180d_gt_20pct,6635,166.03843576793088,1.5729825690941743,41.50715900527506,1.660702310317001
btc_dual_full_rt4bps,BTC,dual,full,4,bear_180d_lt_minus20pct,2606,15.81233217055107,0.5728491368922025,17.191097467382964,1.9419328316450273
btc_dual_full_rt4bps,BTC,dual,full,4,sideways_180d_between_plusminus20pct,3892,36.85176219600017,0.82972962020512,27.15827338129496,1.7852102207893796
btc_dual_full_rt4bps,BTC,dual,full,4,trend_adx_ge_25,10785,206.0000471327279,1.1055564908447415,33.064441353732036,1.400234101763297
btc_dual_full_rt4bps,BTC,dual,full,4,choppy_adx_lt_20,1511,4.124561042630437,0.3187637993404318,31.30377233620119,0.4652257308517196
btc_dual_full_rt4bps,BTC,dual,full,4,high_volatility_rank_ge_90pct,1771,5.997367044248336,0.4722775351401352,25.578769057029927,0.4144067178254097
btc_dual_full_rt4bps,BTC,dual,full,4,low_volatility_rank_le_30pct,5195,87.00815506204623,1.2508707317963628,36.53512993262753,1.9308583399520898
eth_dual_full_rt4bps,ETH,dual,full,4,bull_180d_gt_20pct,6308,187.11575347183845,1.8863814063829036,45.719720989220036,1.3484937247339503
eth_dual_full_rt4bps,ETH,dual,full,4,bear_180d_lt_minus20pct,3493,14.339847264923877,0.40167676545523084,23.475522473518463,0.9896369954971248
eth_dual_full_rt4bps,ETH,dual,full,4,sideways_180d_between_plusminus20pct,3332,36.63034528444247,0.9925783440948934,30.972388955582232,1.3895517109966027
eth_dual_full_rt4bps,ETH,dual,full,4,trend_adx_ge_25,10799,365.1742476304168,1.5669887558457818,36.66080192610427,1.370197230200659
eth_dual_full_rt4bps,ETH,dual,full,4,choppy_adx_lt_20,1486,-4.885677292578561,-0.24228458178943715,36.67563930013459,-0.26056061036356565
eth_dual_full_rt4bps,ETH,dual,full,4,high_volatility_rank_ge_90pct,1965,76.6044961815712,3.0971363689120657,31.806615776081426,2.284303319845727
eth_dual_full_rt4bps,ETH,dual,full,4,low_volatility_rank_le_30pct,5137,99.14173432885562,1.4407071307022328,39.90656024917267,1.5092097791328123
sol_dual_full_rt4bps,SOL,dual,full,4,bull_180d_gt_20pct,5344,278.35206188047295,2.921782384500738,41.76646706586826,1.4691634886522555
sol_dual_full_rt4bps,SOL,dual,full,4,bear_180d_lt_minus20pct,4175,-11.266374600463902,-0.27295118493276305,11.592814371257484,-0.7826675733133777
