case_id,asset,strategy,window,roundtrip_cost_bps,module,trades,pnl,win_rate_pct,profit_factor,avg_win_loss_ratio,max_consecutive_losses,avg_trade_pct
sol_dual_full_rt8bps,SOL,dual,full,8,sweep_reversal_short,11,-5214.012137723478,9.090909090909092,0.25081991205613036,2.508199120561304,8,-1.9170616107233407
btc_dual_common_rt8bps,BTC,dual,common,8,bear_core,27,9496.221523837501,55.55555555555556,1.406055427632203,1.1248443421057623,3,1.8652655471671624
btc_dual_common_rt8bps,BTC,dual,common,8,breakout_retest_long,5,718.6821681521496,40.0,1.1334569816385445,1.7001854724578167,2,0.6270513240173125
btc_dual_common_rt8bps,BTC,dual,common,8,bull_trap_short,2,-953.841310651112,0.0,0.0,,2,-0.6378853706323232
btc_dual_common_rt8bps,BTC,dual,common,8,core_add_long,1,390.720856016447,100.0,,,0,0.8781107410474203
btc_dual_common_rt8bps,BTC,dual,common,8,core_long,110,252937.9311450448,60.909090909090914,2.5998713806889153,1.6685741696958711,3,2.9192006267172794
btc_dual_common_rt8bps,BTC,dual,common,8,crash_short,9,2481.8883804001944,44.44444444444444,2.1390894390177007,2.6738617987721254,3,1.7634895277510048
btc_dual_common_rt8bps,BTC,dual,common,8,dip_buy_long,2,1870.105935202417,50.0,8.573872052112465,8.573872052112465,1,3.4267258618927605
btc_dual_common_rt8bps,BTC,dual,common,8,meanrev_range_long,1,-992.3860349867257,0.0,0.0,,1,-1.1335043035306582
btc_dual_common_rt8bps,BTC,dual,common,8,pullback_struct_long,101,9745.497307574973,38.613861386138616,1.1426029075515474,1.81644564790246,6,0.29158859209088317
btc_dual_common_rt8bps,BTC,dual,common,8,sweep_reversal_long,34,-4202.301578166594,26.47058823529412,0.7997624563258023,2.2215623786827843,6,-0.04245222888189843
btc_dual_common_rt8bps,BTC,dual,common,8,sweep_reversal_short,11,6998.151231341696,63.63636363636363,7.871726104810009,4.498129202748577,2,1.9732088406400157
eth_dual_common_rt8bps,ETH,dual,common,8,bear_core,30,12526.983181540982,56.666666666666664,1.5346836490888098,1.17358161400909,2,1.0475338329037436
eth_dual_common_rt8bps,ETH,dual,common,8,breakout_retest_long,1,1368.1166758325096,100.0,,,0,2.9336731407144034
eth_dual_common_rt8bps,ETH,dual,common,8,core_add_long,1,5203.851596597166,100.0,,,0,14.049104922923933
eth_dual_common_rt8bps,ETH,dual,common,8,core_long,121,167509.97285897413,52.066115702479344,1.4958539871002892,1.3771354166955043,5,2.2634179221457265
eth_dual_common_rt8bps,ETH,dual,common,8,crash_short,21,-456.7371319277555,38.095238095238095,0.94548185853826,1.5364080201246724,4,-1.4453206017021014
eth_dual_common_rt8bps,ETH,dual,common,8,dip_buy_long,4,3104.672818118319,100.0,,,0,4.172759175546518
eth_dual_common_rt8bps,ETH,dual,common,8,pullback_struct_long,59,17601.91218792779,42.3728813559322,1.4842937626234878,2.0186395171679434,6,0.09699231745540621
eth_dual_common_rt8bps,ETH,dual,common,8,sweep_reversal_long,23,519.0013464584025,34.78260869565217,1.056892786657196,1.9816739749822427,6,0.8075215027975643
eth_dual_common_rt8bps,ETH,dual,common,8,sweep_reversal_short,5,-496.5627345449894,20.0,0.531668117536416,2.126672470145664,4,0.3178062700728702
sol_dual_common_rt8bps,SOL,dual,common,8,bear_core,15,56570.325695930565,73.33333333333333,1.892047440469782,0.6880172510799207,1,3.50677137210448
sol_dual_common_rt8bps,SOL,dual,common,8,breakout_retest_long,1,-4272.2927791422335,0.0,0.0,,1,-4.711362013565173
sol_dual_common_rt8bps,SOL,dual,common,8,bull_trap_short,2,1088.586123429999,50.0,1.8919793754504244,1.8919793754504244,1,2.2904881363559264
sol_dual_common_rt8bps,SOL,dual,common,8,core_add_long,1,-5335.424595898636,0.0,0.0,,1,-23.722483403332873
sol_dual_common_rt8bps,SOL,dual,common,8,core_long,120,574912.255083681,44.166666666666664,1.504236686138992,1.90158222587382,6,5.112728660168967
sol_dual_common_rt8bps,SOL,dual,common,8,crash_short,18,13175.491670851254,61.111111111111114,2.136398769421578,1.3595264896319132,2,3.1061602529030474
sol_dual_common_rt8bps,SOL,dual,common,8,dip_buy_long,7,21692.80271709594,85.71428571428571,9.308900334801297,1.5514833891335498,1,4.948896064824857
sol_dual_common_rt8bps,SOL,dual,common,8,pullback_struct_long,44,42783.920709750535,52.27272727272727,1.670891301100756,1.5255964053528641,4,2.135030645593822
sol_dual_common_rt8bps,SOL,dual,common,8,sweep_reversal_long,20,-16283.69245054328,20.0,0.43896446367150915,1.7558578546860366,7,1.9066690138321871
sol_dual_common_rt8bps,SOL,dual,common,8,sweep_reversal_short,11,-5214.012137723478,9.090909090909092,0.25081991205613036,2.508199120561304,8,-1.9170616107233407
btc_dual_full_rt4bps,BTC,dual,full,4,bear_core,29,12378.217298357247,58.620689655172406,1.4816940358757114,1.0459016723828551,3,2.1246530430061754
btc_dual_full_rt4bps,BTC,dual,full,4,breakout_retest_long,5,833.5726486539916,40.0,1.1402508644673315,1.7103762967009972,2,0.6671927908688562
btc_dual_full_rt4bps,BTC,dual,full,4,bull_trap_short,2,-978.0940285573108,0.0,0.0,,2,-0.5977738381711812
