case_id,asset,strategy,window,roundtrip_cost_bps,environment,bars,compounded_return_pct,mean_bps_per_bar,positive_bar_pct,sharpe
sol_dual_full_rt8bps,SOL,dual,full,8,ranging,8917,876.5868312581368,2.761564655346252,28.821352472804758,2.00940670217031
sol_dual_full_rt8bps,SOL,dual,full,8,bull,696,12.632755526531646,2.2183960932599454,46.839080459770116,1.0274076391031752
sol_dual_full_rt8bps,SOL,dual,full,8,bear,790,-3.7558676218936604,-0.47338268932679084,14.556962025316455,-1.4847584066426467
sol_dual_full_rt8bps,SOL,dual,full,8,compression,492,1.1026501032757263,0.3213478053680169,27.64227642276423,0.33795722196878897
sol_dual_full_rt8bps,SOL,dual,full,8,high_risk,1764,-27.20679495115297,-1.2838502971269723,22.27891156462585,-0.5887824182120447
sol_dual_full_rt8bps,SOL,dual,full,8,trend,1486,8.402418330063988,0.7873696879816671,29.676985195154774,0.5264580289300852
sol_dual_full_rt8bps,SOL,dual,full,8,nontrend,9409,887.3551669615877,2.6339648370670203,28.75969816133489,1.9432120912886441
sol_dual_full_rt8bps,SOL,dual,full,8,high_volatility,1764,-27.20679495115297,-1.2838502971269723,22.27891156462585,-0.5887824182120447
sol_dual_full_rt8bps,SOL,dual,full,8,low_volatility,4469,223.7823499920273,2.7495798837817103,30.0738420228239,2.6185900167441867
btc_dual_common_rt8bps,BTC,dual,common,8,ranging,9141,302.1757954142437,1.5685826001556087,32.54567333989717,2.416739022134446
btc_dual_common_rt8bps,BTC,dual,common,8,bull,840,19.01247649239446,2.139066891565757,46.30952380952381,2.7363245097725346
btc_dual_common_rt8bps,BTC,dual,common,8,bear,499,-2.219320284477355,-0.44086149855551665,13.627254509018035,-1.547037968698643
btc_dual_common_rt8bps,BTC,dual,common,8,compression,570,5.671677711100176,0.9826427197561859,31.05263157894737,2.673159258440063
btc_dual_common_rt8bps,BTC,dual,common,8,high_risk,1609,-23.469403028300384,-1.5012889112474352,25.04661280298322,-1.240022658184389
btc_dual_common_rt8bps,BTC,dual,common,8,trend,1339,16.371208460540252,1.1776148626856107,34.12994772218073,1.8299290016010947
btc_dual_common_rt8bps,BTC,dual,common,8,nontrend,9711,324.9859103621934,1.5341900832338013,32.45803727731438,2.4123479584428695
btc_dual_common_rt8bps,BTC,dual,common,8,high_volatility,1606,-23.735769182487676,-1.5258353420762318,24.96886674968867,-1.259261510768332
btc_dual_common_rt8bps,BTC,dual,common,8,low_volatility,4485,77.7070442627269,1.3068350383981022,34.55964325529543,2.745399769673131
eth_dual_common_rt8bps,ETH,dual,common,8,ranging,9097,503.80076966462013,2.0731100979438093,35.7590414422337,2.207871275585145
eth_dual_common_rt8bps,ETH,dual,common,8,bull,747,6.344108177412955,0.9921535901104352,47.121820615796516,0.7989917105855416
eth_dual_common_rt8bps,ETH,dual,common,8,bear,597,3.931774201190885,0.6571257959567383,22.445561139028474,2.0590406553761094
eth_dual_common_rt8bps,ETH,dual,common,8,compression,485,-2.0765113277334546,-0.40316451676235054,38.76288659793815,-0.776464916659043
eth_dual_common_rt8bps,ETH,dual,common,8,high_risk,1733,-53.04001121374515,-4.106926290362582,27.639930755914598,-2.701430995927747
eth_dual_common_rt8bps,ETH,dual,common,8,trend,1344,10.525318387219018,0.8433354404751991,36.160714285714285,0.8881005774817171
eth_dual_common_rt8bps,ETH,dual,common,8,nontrend,9582,491.26277828559415,1.9477716312215712,35.91108328115216,2.1116914595936094
eth_dual_common_rt8bps,ETH,dual,common,8,high_volatility,1733,-53.04001121374515,-4.106926290362582,27.639930755914598,-2.701430995927747
eth_dual_common_rt8bps,ETH,dual,common,8,low_volatility,4539,184.4065899817688,2.3557562244982226,38.66490416391276,3.3905393474286574
sol_dual_common_rt8bps,SOL,dual,common,8,ranging,8917,876.5868312581368,2.761564655346252,28.821352472804758,2.00940670217031
sol_dual_common_rt8bps,SOL,dual,common,8,bull,696,12.632755526531646,2.2183960932599454,46.839080459770116,1.0274076391031752
sol_dual_common_rt8bps,SOL,dual,common,8,bear,790,-3.7558676218936604,-0.47338268932679084,14.556962025316455,-1.4847584066426467
sol_dual_common_rt8bps,SOL,dual,common,8,compression,492,1.1026501032757263,0.3213478053680169,27.64227642276423,0.33795722196878897
sol_dual_common_rt8bps,SOL,dual,common,8,high_risk,1764,-27.20679495115297,-1.2838502971269723,22.27891156462585,-0.5887824182120447
sol_dual_common_rt8bps,SOL,dual,common,8,trend,1486,8.402418330063988,0.7873696879816671,29.676985195154774,0.5264580289300852
sol_dual_common_rt8bps,SOL,dual,common,8,nontrend,9409,887.3551669615877,2.6339648370670203,28.75969816133489,1.9432120912886441
sol_dual_common_rt8bps,SOL,dual,common,8,high_volatility,1764,-27.20679495115297,-1.2838502971269723,22.27891156462585,-0.5887824182120447
sol_dual_common_rt8bps,SOL,dual,common,8,low_volatility,4469,223.7823499920273,2.7495798837817103,30.0738420228239,2.6185900167441867
btc_dual_full_rt4bps,BTC,dual,full,4,ranging,10290,493.96696018604035,1.7812665336574927,34.48979591836735,2.6401182177535816
btc_dual_full_rt4bps,BTC,dual,full,4,bull,995,18.23506212728074,1.7525600464452489,45.92964824120603,2.2055593888870626
btc_dual_full_rt4bps,BTC,dual,full,4,bear,529,-2.8016475113923023,-0.5197778931745832,15.122873345935728,-1.3038786097859023
btc_dual_full_rt4bps,BTC,dual,full,4,compression,626,8.605709604186007,1.334651212290213,34.185303514377,3.5077586463346457
btc_dual_full_rt4bps,BTC,dual,full,4,high_risk,1773,-41.757419151661104,-2.855068868353631,25.775521714608008,-2.158374871749029
btc_dual_full_rt4bps,BTC,dual,full,4,trend,1524,14.922532451598514,0.9638023233094934,35.23622047244094,1.4092724054065713
btc_dual_full_rt4bps,BTC,dual,full,4,nontrend,10916,545.0820319244608,1.755654478767797,34.47233418834738,2.6546142207112555
btc_dual_full_rt4bps,BTC,dual,full,4,high_volatility,1770,-41.96016823454488,-2.879638871328748,25.70621468926554,-2.1753081362646407
btc_dual_full_rt4bps,BTC,dual,full,4,low_volatility,5195,107.00172987799732,1.4281355391014505,36.76612127045236,2.845427953044761
eth_dual_full_rt4bps,ETH,dual,full,4,ranging,10124,988.383183352409,2.4649408668492323,38.245752666930066,2.495657441093478
eth_dual_full_rt4bps,ETH,dual,full,4,bull,960,14.56940826019244,1.5839263599035034,46.979166666666664,1.2814809109537035
eth_dual_full_rt4bps,ETH,dual,full,4,bear,618,4.418832968385944,0.7160790281381629,23.624595469255663,1.8490933683867419
eth_dual_full_rt4bps,ETH,dual,full,4,compression,547,-0.7794499089648799,-0.10961396546198446,40.58500914076782,-0.19816613514217551
